Dataset,Algorithm,Time
Test 1,Quicksort,1899.5619
Test 2,Quicksort,3929.1242
Test 3,Quicksort,2578.2663
Test 4,Quicksort,2370.7171
Test 5,Quicksort,2370.1464
Test 6,Quicksort,2325.2732
Test 7,Quicksort,2438.4702
Test 8,Quicksort,2322.9506
Test 9,Quicksort,2430.7967
Test 10,Quicksort,2407.2566
Test 1,Heapsort,6396.3953
Test 2,Heapsort,5772.4247
Test 3,Heapsort,7852.2656
Test 4,Heapsort,7944.9056
Test 5,Heapsort,7064.9681
Test 6,Heapsort,6868.477
Test 7,Heapsort,6808.9536
Test 8,Heapsort,6850.7093
Test 9,Heapsort,6842.3609
Test 10,Heapsort,6829.0618
Test 1,Mergesort,4729.5068
Test 2,Mergesort,4698.9855
Test 3,Mergesort,5609.4374
Test 4,Mergesort,5984.0929
Test 5,Mergesort,5264.4694
Test 6,Mergesort,5245.7967
Test 7,Mergesort,5274.9646
Test 8,Mergesort,5231.1679
Test 9,Mergesort,5232.4763
Test 10,Mergesort,5239.0205
Test 1,Built_in_Python_Sort,6.9871
Test 2,Built_in_Python_Sort,15.8083
Test 3,Built_in_Python_Sort,230.7558
Test 4,Built_in_Python_Sort,227.0931
Test 5,Built_in_Python_Sort,225.7313
Test 6,Built_in_Python_Sort,224.3648
Test 7,Built_in_Python_Sort,224.3428
Test 8,Built_in_Python_Sort,226.2244
Test 9,Built_in_Python_Sort,230.6247
Test 10,Built_in_Python_Sort,226.0544
Test 1,Numpy_Sort,544.1114
Test 2,Numpy_Sort,542.2209
Test 3,Numpy_Sort,533.6575
Test 4,Numpy_Sort,523.8805
Test 5,Numpy_Sort,523.1401
Test 6,Numpy_Sort,526.2884
Test 7,Numpy_Sort,525.084
Test 8,Numpy_Sort,524.3652
Test 9,Numpy_Sort,528.0249
Test 10,Numpy_Sort,525.0006
